,Wavelength,Luminosity
127,13375.242426268976,5.105225343997377e+37
128,13340.448239060834,5.119621942627825e+37
129,13305.834608475818,5.134267781492376e+37
130,13271.400132714003,5.148728586963563e+37
131,13237.143424449005,5.1653864331090475e+37
132,13203.06311064167,5.1843790882015e+37
133,13169.157832356621,5.18974825300264e+37
134,13135.426244581637,5.254246034751284e+37
135,13101.867016049788,5.338340380169069e+37
136,13068.478829064297,5.411631652189195e+37
137,13035.260379326079,5.466001331504297e+37
138,13002.210375763882,5.536901623060915e+37
139,12969.327540367032,5.609604076282925e+37
140,12936.610608020701,5.676187028223564e+37
141,12904.058326343637,5.738812536757556e+37
142,12871.669455528383,5.798089783499874e+37
143,12839.442768183862,5.856474528570846e+37
144,12807.37704918033,5.912274080756195e+37
145,12775.471095496649,5.967187767365999e+37
146,12743.723716069837,6.023217145419296e+37
147,12712.133731646858,6.078467165059162e+37
148,12680.6999746386,6.134262431060127e+37
149,12649.42128897603,6.197006490597462e+37
150,12618.296529968455,6.254540737552512e+37
151,12587.324564163888,6.307914300855785e+37
152,12556.504269211451,6.359595427624498e+37
153,12525.83453372581,6.410876210252031e+37
154,12495.314257153568,6.461492755508331e+37
155,12464.942349641633,6.510391531378983e+37
156,12434.717731907487,6.559198001301384e+37
157,12404.639335111333,6.606537092310807e+37
158,12374.706100730109,6.65335164812906e+37
159,12344.916980433307,6.703514627109628e+37
160,12315.270935960592,6.753048156205952e+37
161,12285.766939001167,6.807672525472284e+37
162,12256.403971074888,6.862615526071001e+37
163,12227.181023415053,6.922262983071101e+37
164,12198.09709685289,6.979771835375087e+37
165,12169.15120170368,7.036072013173142e+37
166,12140.342357654488,7.0913816422109305e+37
167,12111.669593653487,7.145506456259865e+37
168,12083.13194780087,7.204897407166444e+37
169,12054.728467241277,7.265407607190289e+37
170,12026.458208057727,7.32467250555688e+37
171,11998.320235167079,7.393273236694765e+37
172,11970.313622216903,7.469849385265733e+37
173,11942.437451483847,7.552769368429093e+37
174,11914.690813773383,7.641226867315416e+37
175,11887.072808320952,7.741342609610143e+37
176,11859.582542694498,7.848369838004595e+37
177,11832.21913269834,7.975287970631834e+37
178,11804.981702278363,8.108274526815153e+37
179,11777.869383428537,8.248321668740861e+37
180,11750.881316098707,8.379201605323282e+37
181,11724.016648103641,8.516800284503337e+37
182,11697.274535033339,8.664246729568839e+37
183,11670.654140164557,8.79001800284216e+37
184,11644.154634373546,8.881471950888637e+37
185,11617.775196049957,8.941027072507156e+37
186,11591.51501101194,8.989053016030166e+37
187,11565.373272422368,9.025310832849338e+37
188,11539.34918070621,9.063539814592735e+37
189,11513.441943469,9.102478985501622e+37
190,11487.650775416429,9.164947285238912e+37
191,11461.974898274973,9.25685821239457e+37
192,11436.413540713633,9.368995841887914e+37
193,11410.965938266676,9.508637128605502e+37
194,11385.63133325743,9.715464932583669e+37
195,11360.40897472309,9.95216024893089e+37
196,11335.298118340514,1.0213366966219076e+38
197,11310.298026352993,1.0508465362864394e+38
198,11285.407967498026,1.09423864686527e+38
199,11260.627216935984,1.1394343481933048e+38
200,11235.955056179775,1.2001752590281441e+38
201,11211.390773025394,1.262788649973566e+38
202,11186.933661483388,1.323079525482423e+38
203,11162.583021711223,1.3844704886124823e+38
204,11138.338159946536,1.4469437347037278e+38
205,11114.198388441235,1.510011698684783e+38
206,11090.163025396474,1.5760450926817914e+38
207,11066.231394898468,1.6440760389005899e+38
208,11042.402826855125,1.7128945392078106e+38
209,11018.676656933503,1.780312853149833e+38
210,10995.052226498075,1.8448495671279413e+38
211,10971.528882549783,1.90775822631815e+38
212,10948.105977665866,1.967882549879647e+38
213,10924.78286994046,2.022768778423198e+38
214,10901.558922925979,2.0730622239145358e+38
215,10878.433505575198,2.122688414906974e+38
216,10855.405992184109,2.1787223764112874e+38
217,10832.475762335482,2.2323182232986837e+38
218,10809.642200843153,2.282249506871025e+38
219,10786.904697696997,2.3292331697689428e+38
220,10764.262648008611,2.3741000309575635e+38
221,10741.715451957678,2.4174764372226333e+38
222,10719.262514738984,2.462430161398381e+38
223,10696.903246510135,2.5062421192271935e+38
224,10674.63706233988,2.55090169977865e+38
225,10652.463382157124,2.596667228742234e+38
226,10630.381630700542,2.6364416422254517e+38
227,10608.391237468839,2.530226969626089e+38
228,10586.491636671606,1.9502739846966863e+38
229,10564.682267180815,1.5410641179784385e+38
230,10542.96257248287,1.5437177661334712e+38
231,10521.33200063128,1.5787146410958243e+38
232,10499.790004199916,1.6096945347243211e+38
233,10478.33604023681,1.6389435841954816e+38
234,10456.96957021855,1.6688365908773443e+38
235,10435.690060005218,1.693966817770124e+38
236,10414.496979795875,1.716919194449526e+38
237,10393.389804084602,1.740880611518705e+38
238,10372.36801161705,1.7633459069572466e+38
239,10351.431085347549,1.783918040712823e+38
240,10330.578512396694,1.8037579369852887e+38
241,10309.809784009485,1.8219969425612573e+38
242,10289.124395513942,1.8399976028716973e+38
243,10268.52184628023,1.8570856995380395e+38
244,10248.001639680264,1.8736483890064447e+38
245,10227.563283047815,1.889877514956787e+38
246,10207.206287639074,1.904874290859061e+38
247,10186.930168593695,1.8387602954282723e+38
248,10166.7344448963,1.3811950137406522e+38
249,10146.618639338441,1.2832235229492114e+38
250,10126.582278481013,1.2915343190447656e+38
251,10106.62489261711,1.2998746837065499e+38
252,10086.746015735325,1.308375046927811e+38
253,10066.945185483466,1.3188799381709894e+38
254,10047.221943132723,1.3300745838974526e+38
255,10027.57583354224,1.3404916349547489e+38
256,10008.006405124099,1.3498676370800052e+38
257,9988.513209808722,1.3588810657595394e+38
258,9969.095803010667,1.3671322313453763e+38
259,9949.753743594847,1.3752909880223851e+38
260,9930.486593843098,1.3828769027742851e+38
261,9911.293919421181,1.3906693090605395e+38
262,9892.175289346129,1.398613018135327e+38
263,9873.130275953992,1.4067109477826989e+38
264,9854.158454867955,1.4149308699007407e+38
265,9835.259404966806,1.4232590584158509e+38
266,9816.432708353785,1.4312704540256162e+38
267,9797.677950325773,1.4394133892988578e+38
268,9778.99471934285,1.4476481038770314e+38
269,9760.382606998195,1.456305508951161e+38
270,9741.84120798831,1.4653012332278844e+38
271,9723.370120083622,1.4792014060893879e+38
272,9704.968944099379,1.5094120062325485e+38
